packsize,price,price_per_unit,product_image,product_title
,"$9.,99",$66.60/100ml,https://www.aldi.com.au/fileadmin/_processed_/7/9/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_10_7ffbef2e32.jpg,"
					LACURA, Skin Science Renew Expert Wrinkle Smoother 15ml     
				"
ea,"$4.,99",$6.24 per kg,https://www.aldi.com.au/fileadmin/_processed_/b/6/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_8_b9622172af.jpg,"
					Market Fare Cauliflower or Broccoli Bake 800g 
				"
,"$4.,99",$1.37 per 100g,https://www.aldi.com.au/fileadmin/_processed_/f/5/csm_ALN2626_MARGHERITA_PIZZA_1x1_228x128_663241c472.jpg,"
					The Best Margherita Pizza Ever 365g 
				"
,"$2.,99",59c per 100g,https://www.aldi.com.au/fileadmin/_processed_/7/3/csm_ALN2364_FROZEN_FOOD_1x1_228x128__218af1f32e.jpg,"
					International Cuisine Supreme Family Pizza 500g 
				"
,"$8.,49",43c per 100g,https://www.aldi.com.au/fileadmin/_processed_/9/f/csm_ALN2853_FROZEN_FOOD_1x1_228x128_9_820f46bccd.jpg,"
					International Cuisine Beef Lasagne 2kg 
				"
ea,"$4.,49",30c per tablet,https://www.aldi.com.au/fileadmin/_processed_/c/3/csm_ALN2364-7_HEALTH_1x1_228x128_10_586cc47052.jpg,"
					Essential Health Effervescents 15pk 
				"
20pk,"$5.,49",27c per tablet,https://www.aldi.com.au/fileadmin/_processed_/9/3/csm_ALN2853_HEALTH_1x1_228x128__9c3f4c0792.jpg,"
					Essential Health Electrolytes 20pk 
				"
ea,"$1.,99",2c-4c per strip,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_ALN2364-7_HEALTH_1x1_228x128_11_a6de138e71.jpg,"
					Essential Health First Aid Strips Plastic 100pk / Fabric 50pk 
				"
ea,"$1.,79",$3.25 per 100g­,https://www.aldi.com.au/fileadmin/_processed_/0/e/csm_ALN2364-7_HEALTH_1x1_228x128_12_2e957e4443.jpg,"
					Essential Health Meal Replacement Shakes 
				"
,"$7.,99",$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/6/8/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128__4a518097a6.jpg,"
					LACURA, Skin Science Renew Day Cream SPF 15 50ml 
				"
,"$7.,99",$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/e/6/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_4_bd338d37dd.jpg,"
					LACURA, Skin Science Renew Night Cream 50ml 
				"
,"$7.,99",$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/9/0/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_5_e8df2a9cb8.jpg,"
					LACURA, Skin Science Renew Serum 50ml 
				"
,"$10.,99",$21.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/0/8/csm_ALN2364_AWARDS_HEALTH-AND-BEAUTY_1x1_228x128__062953c66a.jpg,"
					LACURA, Skin Science Renew Expert Day Cream SPF 15 50ml,   
				"
,"$3.,69",$7.38 per kg,https://www.aldi.com.au/fileadmin/_processed_/d/8/csm_ALN2364_FROZEN_FOOD_1x1_228x128_3_97631fd247.jpg,"
					Orchard & Vine Blueberries 500g 
				"
